coverage	seqs	seqnames	Type	Chromosome	Position	seq_type
0	61	1	gain	1	61	gain_1
2	62	1	gain	1	62	gain_1
1	63	1	gain	1	63	gain_1
0	64	1	gain	1	64	gain_1
1	65	1	gain	1	65	gain_1
0	66	1	gain	1	66	gain_1
0	67	1	gain	1	67	gain_1
0	68	1	gain	1	68	gain_1
4	69	1	gain	1	69	gain_1
0	70	1	gain	1	70	gain_1
0	71	1	gain	1	71	gain_1
1	72	1	gain	1	72	gain_1
0	73	1	gain	1	73	gain_1
1	74	1	gain	1	74	gain_1
1	75	1	gain	1	75	gain_1
1	76	1	gain	1	76	gain_1
0	77	1	gain	1	77	gain_1
0	78	1	gain	1	78	gain_1
0	79	1	gain	1	79	gain_1
0	80	1	gain	1	80	gain_1
0	81	1	gain	1	81	gain_1
0	82	1	gain	1	82	gain_1
0	83	1	gain	1	83	gain_1
0	84	1	gain	1	84	gain_1
1	85	1	gain	1	85	gain_1
0	86	1	gain	1	86	gain_1
0	87	1	gain	1	87	gain_1
0	88	1	gain	1	88	gain_1
0	89	1	gain	1	89	gain_1
0	90	1	gain	1	90	gain_1
0	91	1	gain	1	91	gain_1
0	92	1	gain	1	92	gain_1
0	93	1	gain	1	93	gain_1
0	94	1	gain	1	94	gain_1
1	95	1	gain	1	95	gain_1
2	96	1	gain	1	96	gain_1
0	97	1	gain	1	97	gain_1
0	98	1	gain	1	98	gain_1
0	99	1	gain	1	99	gain_1
2	100	1	gain	1	100	gain_1
2	101	1	gain	1	101	gain_1
1	102	1	gain	1	102	gain_1
1	103	1	gain	1	103	gain_1
0	104	1	gain	1	104	gain_1
0	105	1	gain	1	105	gain_1
1	106	1	gain	1	106	gain_1
1	107	1	gain	1	107	gain_1
0	108	1	gain	1	108	gain_1
1	109	1	gain	1	109	gain_1
0	110	1	gain	1	110	gain_1
0	111	1	gain	1	111	gain_1
0	112	1	gain	1	112	gain_1
0	113	1	gain	1	113	gain_1
0	114	1	gain	1	114	gain_1
0	115	1	gain	1	115	gain_1
0	116	1	gain	1	116	gain_1
0	117	1	gain	1	117	gain_1
0	118	1	gain	1	118	gain_1
1	119	1	gain	1	119	gain_1
2	120	1	gain	1	120	gain_1
3	121	1	gain	1	121	gain_1
3	122	1	gain	1	122	gain_1
0	123	1	gain	1	123	gain_1
0	124	1	gain	1	124	gain_1
0	125	1	gain	1	125	gain_1
0	126	1	gain	1	126	gain_1
0	127	1	gain	1	127	gain_1
0	128	1	gain	1	128	gain_1
0	129	1	gain	1	129	gain_1
0	130	1	gain	1	130	gain_1
0	131	1	gain	1	131	gain_1
0	132	1	gain	1	132	gain_1
0	133	1	gain	1	133	gain_1
0	134	1	gain	1	134	gain_1
0	135	1	gain	1	135	gain_1
0	136	1	gain	1	136	gain_1
0	137	1	gain	1	137	gain_1
0	138	1	gain	1	138	gain_1
0	139	1	gain	1	139	gain_1
0	140	1	gain	1	140	gain_1
0	141	1	gain	1	141	gain_1
0	142	1	gain	1	142	gain_1
0	143	1	gain	1	143	gain_1
0	144	1	gain	1	144	gain_1
3	145	1	gain	1	145	gain_1
5	146	1	gain	1	146	gain_1
3	147	1	gain	1	147	gain_1
2	148	1	gain	1	148	gain_1
0	149	1	gain	1	149	gain_1
1	150	1	gain	1	150	gain_1
0	151	1	gain	1	151	gain_1
1	152	1	gain	1	152	gain_1
1	153	1	gain	1	153	gain_1
0	154	1	gain	1	154	gain_1
0	155	1	gain	1	155	gain_1
0	156	1	gain	1	156	gain_1
0	157	1	gain	1	157	gain_1
1	158	1	gain	1	158	gain_1
1	159	1	gain	1	159	gain_1
0	160	1	gain	1	160	gain_1
0	161	1	gain	1	161	gain_1
1	162	1	gain	1	162	gain_1
3	163	1	gain	1	163	gain_1
1	164	1	gain	1	164	gain_1
4	165	1	gain	1	165	gain_1
2	166	1	gain	1	166	gain_1
3	167	1	gain	1	167	gain_1
1	168	1	gain	1	168	gain_1
0	169	1	gain	1	169	gain_1
1	170	1	gain	1	170	gain_1
0	171	1	gain	1	171	gain_1
0	172	1	gain	1	172	gain_1
1	173	1	gain	1	173	gain_1
0	174	1	gain	1	174	gain_1
0	175	1	gain	1	175	gain_1
0	176	1	gain	1	176	gain_1
0	177	1	gain	1	177	gain_1
1	178	1	gain	1	178	gain_1
1	179	1	gain	1	179	gain_1
1	180	1	gain	1	180	gain_1
0	181	1	gain	1	181	gain_1
1	182	1	gain	1	182	gain_1
0	183	1	gain	1	183	gain_1
0	184	1	gain	1	184	gain_1
0	185	1	gain	1	185	gain_1
0	186	1	gain	1	186	gain_1
0	187	1	gain	1	187	gain_1
0	188	1	gain	1	188	gain_1
0	189	1	gain	1	189	gain_1
0	190	1	gain	1	190	gain_1
0	191	1	gain	1	191	gain_1
0	192	1	gain	1	192	gain_1
0	193	1	gain	1	193	gain_1
0	194	1	gain	1	194	gain_1
0	195	1	gain	1	195	gain_1
0	196	1	gain	1	196	gain_1
1	197	1	gain	1	197	gain_1
2	198	1	gain	1	198	gain_1
1	199	1	gain	1	199	gain_1
4	200	1	gain	1	200	gain_1
0	201	1	gain	1	201	gain_1
0	202	1	gain	1	202	gain_1
0	203	1	gain	1	203	gain_1
1	204	1	gain	1	204	gain_1
2	205	1	gain	1	205	gain_1
0	206	1	gain	1	206	gain_1
0	207	1	gain	1	207	gain_1
0	208	1	gain	1	208	gain_1
0	209	1	gain	1	209	gain_1
1	210	1	gain	1	210	gain_1
2	211	1	gain	1	211	gain_1
1	212	1	gain	1	212	gain_1
0	213	1	gain	1	213	gain_1
0	214	1	gain	1	214	gain_1
2	215	1	gain	1	215	gain_1
0	216	1	gain	1	216	gain_1
0	217	1	gain	1	217	gain_1
1	218	1	gain	1	218	gain_1
4	219	1	gain	1	219	gain_1
2	220	1	gain	1	220	gain_1
0	221	1	gain	1	221	gain_1
0	222	1	gain	1	222	gain_1
0	223	1	gain	1	223	gain_1
0	224	1	gain	1	224	gain_1
0	225	1	gain	1	225	gain_1
0	226	1	gain	1	226	gain_1
0	227	1	gain	1	227	gain_1
1	228	1	gain	1	228	gain_1
0	229	1	gain	1	229	gain_1
1	230	1	gain	1	230	gain_1
0	231	1	gain	1	231	gain_1
0	232	1	gain	1	232	gain_1
0	233	1	gain	1	233	gain_1
1	234	1	gain	1	234	gain_1
1	235	1	gain	1	235	gain_1
0	236	1	gain	1	236	gain_1
1	237	1	gain	1	237	gain_1
2	238	1	gain	1	238	gain_1
0	239	1	gain	1	239	gain_1
0	240	1	gain	1	240	gain_1
0	241	1	gain	1	241	gain_1
0	242	1	gain	1	242	gain_1
0	243	1	gain	1	243	gain_1
3	244	1	gain	1	244	gain_1
0	245	1	gain	1	245	gain_1
0	246	1	gain	1	246	gain_1
2	247	1	gain	1	247	gain_1
4	248	1	gain	1	248	gain_1
3	249	1	gain	1	249	gain_1
2	250	1	gain	1	250	gain_1
1	1	2	gain	2	251	gain_2
0	2	2	gain	2	252	gain_2
0	3	2	gain	2	253	gain_2
0	4	2	gain	2	254	gain_2
0	5	2	gain	2	255	gain_2
0	6	2	gain	2	256	gain_2
0	7	2	gain	2	257	gain_2
0	8	2	gain	2	258	gain_2
0	9	2	gain	2	259	gain_2
0	10	2	gain	2	260	gain_2
0	11	2	gain	2	261	gain_2
0	12	2	gain	2	262	gain_2
0	13	2	gain	2	263	gain_2
0	14	2	gain	2	264	gain_2
0	15	2	gain	2	265	gain_2
0	16	2	gain	2	266	gain_2
1	17	2	gain	2	267	gain_2
0	18	2	gain	2	268	gain_2
0	19	2	gain	2	269	gain_2
0	20	2	gain	2	270	gain_2
0	21	2	gain	2	271	gain_2
0	22	2	gain	2	272	gain_2
0	23	2	gain	2	273	gain_2
0	24	2	gain	2	274	gain_2
0	25	2	gain	2	275	gain_2
0	26	2	gain	2	276	gain_2
0	27	2	gain	2	277	gain_2
0	28	2	gain	2	278	gain_2
0	29	2	gain	2	279	gain_2
0	30	2	gain	2	280	gain_2
0	31	2	gain	2	281	gain_2
0	32	2	gain	2	282	gain_2
0	33	2	gain	2	283	gain_2
4	34	2	gain	2	284	gain_2
5	35	2	gain	2	285	gain_2
0	36	2	gain	2	286	gain_2
2	37	2	gain	2	287	gain_2
0	38	2	gain	2	288	gain_2
0	39	2	gain	2	289	gain_2
1	40	2	gain	2	290	gain_2
0	41	2	gain	2	291	gain_2
0	42	2	gain	2	292	gain_2
1	43	2	gain	2	293	gain_2
0	44	2	gain	2	294	gain_2
0	45	2	gain	2	295	gain_2
0	46	2	gain	2	296	gain_2
0	47	2	gain	2	297	gain_2
0	48	2	gain	2	298	gain_2
2	49	2	gain	2	299	gain_2
1	50	2	gain	2	300	gain_2
0	51	2	gain	2	301	gain_2
0	52	2	gain	2	302	gain_2
0	53	2	gain	2	303	gain_2
1	54	2	gain	2	304	gain_2
0	55	2	gain	2	305	gain_2
0	56	2	gain	2	306	gain_2
1	57	2	gain	2	307	gain_2
1	58	2	gain	2	308	gain_2
0	59	2	gain	2	309	gain_2
0	60	2	gain	2	310	gain_2
6	61	2	gain	2	311	gain_2
0	62	2	gain	2	312	gain_2
1	63	2	gain	2	313	gain_2
1	64	2	gain	2	314	gain_2
0	65	2	gain	2	315	gain_2
1	66	2	gain	2	316	gain_2
1	67	2	gain	2	317	gain_2
1	68	2	gain	2	318	gain_2
0	69	2	gain	2	319	gain_2
0	70	2	gain	2	320	gain_2
0	71	2	gain	2	321	gain_2
1	72	2	gain	2	322	gain_2
0	73	2	gain	2	323	gain_2
0	74	2	gain	2	324	gain_2
0	75	2	gain	2	325	gain_2
2	76	2	gain	2	326	gain_2
0	77	2	gain	2	327	gain_2
1	78	2	gain	2	328	gain_2
2	79	2	gain	2	329	gain_2
1	80	2	gain	2	330	gain_2
0	81	2	gain	2	331	gain_2
0	82	2	gain	2	332	gain_2
0	83	2	gain	2	333	gain_2
0	84	2	gain	2	334	gain_2
3	85	2	gain	2	335	gain_2
0	86	2	gain	2	336	gain_2
0	87	2	gain	2	337	gain_2
0	88	2	gain	2	338	gain_2
1	89	2	gain	2	339	gain_2
1	90	2	gain	2	340	gain_2
1	91	2	gain	2	341	gain_2
0	92	2	gain	2	342	gain_2
0	93	2	gain	2	343	gain_2
0	94	2	gain	2	344	gain_2
0	95	2	gain	2	345	gain_2
1	96	2	gain	2	346	gain_2
1	97	2	gain	2	347	gain_2
1	98	2	gain	2	348	gain_2
0	99	2	gain	2	349	gain_2
2	100	2	gain	2	350	gain_2
4	101	2	gain	2	351	gain_2
2	102	2	gain	2	352	gain_2
2	103	2	gain	2	353	gain_2
0	104	2	gain	2	354	gain_2
0	105	2	gain	2	355	gain_2
0	106	2	gain	2	356	gain_2
0	107	2	gain	2	357	gain_2
1	108	2	gain	2	358	gain_2
0	109	2	gain	2	359	gain_2
3	110	2	gain	2	360	gain_2
2	111	2	gain	2	361	gain_2
0	112	2	gain	2	362	gain_2
0	113	2	gain	2	363	gain_2
1	114	2	gain	2	364	gain_2
0	115	2	gain	2	365	gain_2
0	116	2	gain	2	366	gain_2
0	117	2	gain	2	367	gain_2
1	118	2	gain	2	368	gain_2
0	119	2	gain	2	369	gain_2
0	120	2	gain	2	370	gain_2
0	121	2	gain	2	371	gain_2
0	122	2	gain	2	372	gain_2
0	123	2	gain	2	373	gain_2
0	124	2	gain	2	374	gain_2
0	125	2	gain	2	375	gain_2
0	126	2	gain	2	376	gain_2
1	127	2	gain	2	377	gain_2
1	128	2	gain	2	378	gain_2
0	129	2	gain	2	379	gain_2
0	130	2	gain	2	380	gain_2
0	131	2	gain	2	381	gain_2
0	132	2	gain	2	382	gain_2
0	133	2	gain	2	383	gain_2
0	134	2	gain	2	384	gain_2
0	135	2	gain	2	385	gain_2
1	136	2	gain	2	386	gain_2
0	137	2	gain	2	387	gain_2
1	138	2	gain	2	388	gain_2
2	139	2	gain	2	389	gain_2
0	140	2	gain	2	390	gain_2
0	141	2	gain	2	391	gain_2
1	142	2	gain	2	392	gain_2
2	143	2	gain	2	393	gain_2
0	144	2	gain	2	394	gain_2
0	145	2	gain	2	395	gain_2
0	146	2	gain	2	396	gain_2
0	147	2	gain	2	397	gain_2
0	148	2	gain	2	398	gain_2
0	149	2	gain	2	399	gain_2
0	150	2	gain	2	400	gain_2
0	151	2	gain	2	401	gain_2
0	152	2	gain	2	402	gain_2
0	153	2	gain	2	403	gain_2
0	154	2	gain	2	404	gain_2
0	155	2	gain	2	405	gain_2
0	156	2	gain	2	406	gain_2
0	157	2	gain	2	407	gain_2
0	158	2	gain	2	408	gain_2
0	159	2	gain	2	409	gain_2
0	160	2	gain	2	410	gain_2
0	161	2	gain	2	411	gain_2
0	162	2	gain	2	412	gain_2
0	163	2	gain	2	413	gain_2
0	164	2	gain	2	414	gain_2
0	165	2	gain	2	415	gain_2
0	166	2	gain	2	416	gain_2
0	167	2	gain	2	417	gain_2
1	168	2	gain	2	418	gain_2
4	169	2	gain	2	419	gain_2
3	170	2	gain	2	420	gain_2
0	171	2	gain	2	421	gain_2
0	172	2	gain	2	422	gain_2
0	173	2	gain	2	423	gain_2
0	174	2	gain	2	424	gain_2
1	175	2	gain	2	425	gain_2
2	176	2	gain	2	426	gain_2
1	177	2	gain	2	427	gain_2
1	178	2	gain	2	428	gain_2
0	179	2	gain	2	429	gain_2
0	180	2	gain	2	430	gain_2
0	181	2	gain	2	431	gain_2
0	182	2	gain	2	432	gain_2
0	183	2	gain	2	433	gain_2
0	184	2	gain	2	434	gain_2
1	185	2	gain	2	435	gain_2
0	186	2	gain	2	436	gain_2
0	187	2	gain	2	437	gain_2
0	188	2	gain	2	438	gain_2
0	189	2	gain	2	439	gain_2
0	190	2	gain	2	440	gain_2
0	191	2	gain	2	441	gain_2
0	192	2	gain	2	442	gain_2
0	193	2	gain	2	443	gain_2
0	194	2	gain	2	444	gain_2
0	195	2	gain	2	445	gain_2
1	196	2	gain	2	446	gain_2
1	197	2	gain	2	447	gain_2
1	198	2	gain	2	448	gain_2
0	199	2	gain	2	449	gain_2
0	200	2	gain	2	450	gain_2
0	201	2	gain	2	451	gain_2
0	202	2	gain	2	452	gain_2
0	203	2	gain	2	453	gain_2
0	204	2	gain	2	454	gain_2
0	205	2	gain	2	455	gain_2
0	206	2	gain	2	456	gain_2
0	207	2	gain	2	457	gain_2
0	208	2	gain	2	458	gain_2
0	209	2	gain	2	459	gain_2
0	210	2	gain	2	460	gain_2
0	211	2	gain	2	461	gain_2
0	212	2	gain	2	462	gain_2
0	213	2	gain	2	463	gain_2
0	214	2	gain	2	464	gain_2
0	215	2	gain	2	465	gain_2
0	216	2	gain	2	466	gain_2
1	217	2	gain	2	467	gain_2
1	218	2	gain	2	468	gain_2
1	219	2	gain	2	469	gain_2
0	220	2	gain	2	470	gain_2
0	221	2	gain	2	471	gain_2
0	222	2	gain	2	472	gain_2
0	223	2	gain	2	473	gain_2
0	224	2	gain	2	474	gain_2
0	225	2	gain	2	475	gain_2
1	226	2	gain	2	476	gain_2
1	227	2	gain	2	477	gain_2
2	228	2	gain	2	478	gain_2
1	229	2	gain	2	479	gain_2
0	230	2	gain	2	480	gain_2
0	231	2	gain	2	481	gain_2
0	232	2	gain	2	482	gain_2
0	233	2	gain	2	483	gain_2
2	234	2	gain	2	484	gain_2
2	235	2	gain	2	485	gain_2
0	236	2	gain	2	486	gain_2
0	237	2	gain	2	487	gain_2
0	238	2	gain	2	488	gain_2
0	239	2	gain	2	489	gain_2
0	240	2	gain	2	490	gain_2
0	241	2	gain	2	491	gain_2
0	242	2	gain	2	492	gain_2
0	243	2	gain	2	493	gain_2
0	244	2	gain	2	494	gain_2
0	1	3	gain	3	495	gain_3
0	2	3	gain	3	496	gain_3
0	3	3	gain	3	497	gain_3
0	4	3	gain	3	498	gain_3
0	5	3	gain	3	499	gain_3
0	6	3	gain	3	500	gain_3
0	7	3	gain	3	501	gain_3
0	8	3	gain	3	502	gain_3
0	9	3	gain	3	503	gain_3
0	10	3	gain	3	504	gain_3
0	11	3	gain	3	505	gain_3
0	12	3	gain	3	506	gain_3
0	13	3	gain	3	507	gain_3
0	14	3	gain	3	508	gain_3
1	15	3	gain	3	509	gain_3
1	16	3	gain	3	510	gain_3
2	17	3	gain	3	511	gain_3
0	18	3	gain	3	512	gain_3
0	19	3	gain	3	513	gain_3
0	20	3	gain	3	514	gain_3
0	21	3	gain	3	515	gain_3
0	22	3	gain	3	516	gain_3
0	23	3	gain	3	517	gain_3
0	24	3	gain	3	518	gain_3
0	25	3	gain	3	519	gain_3
0	26	3	gain	3	520	gain_3
0	27	3	gain	3	521	gain_3
0	28	3	gain	3	522	gain_3
0	29	3	gain	3	523	gain_3
0	30	3	gain	3	524	gain_3
1	31	3	gain	3	525	gain_3
1	32	3	gain	3	526	gain_3
0	33	3	gain	3	527	gain_3
0	34	3	gain	3	528	gain_3
0	35	3	gain	3	529	gain_3
1	36	3	gain	3	530	gain_3
0	37	3	gain	3	531	gain_3
0	38	3	gain	3	532	gain_3
0	39	3	gain	3	533	gain_3
0	40	3	gain	3	534	gain_3
0	41	3	gain	3	535	gain_3
0	42	3	gain	3	536	gain_3
0	43	3	gain	3	537	gain_3
0	44	3	gain	3	538	gain_3
0	45	3	gain	3	539	gain_3
0	46	3	gain	3	540	gain_3
0	47	3	gain	3	541	gain_3
0	48	3	gain	3	542	gain_3
0	49	3	gain	3	543	gain_3
0	50	3	gain	3	544	gain_3
0	51	3	gain	3	545	gain_3
0	52	3	gain	3	546	gain_3
0	53	3	gain	3	547	gain_3
0	54	3	gain	3	548	gain_3
0	55	3	gain	3	549	gain_3
0	56	3	gain	3	550	gain_3
0	57	3	gain	3	551	gain_3
0	58	3	gain	3	552	gain_3
0	59	3	gain	3	553	gain_3
0	60	3	gain	3	554	gain_3
1	61	3	gain	3	555	gain_3
0	62	3	gain	3	556	gain_3
0	63	3	gain	3	557	gain_3
0	64	3	gain	3	558	gain_3
0	65	3	gain	3	559	gain_3
0	66	3	gain	3	560	gain_3
0	67	3	gain	3	561	gain_3
0	68	3	gain	3	562	gain_3
0	69	3	gain	3	563	gain_3
0	70	3	gain	3	564	gain_3
0	71	3	gain	3	565	gain_3
1	72	3	gain	3	566	gain_3
2	73	3	gain	3	567	gain_3
1	74	3	gain	3	568	gain_3
1	75	3	gain	3	569	gain_3
1	76	3	gain	3	570	gain_3
1	77	3	gain	3	571	gain_3
1	78	3	gain	3	572	gain_3
3	79	3	gain	3	573	gain_3
2	80	3	gain	3	574	gain_3
2	81	3	gain	3	575	gain_3
2	82	3	gain	3	576	gain_3
4	83	3	gain	3	577	gain_3
1	84	3	gain	3	578	gain_3
0	85	3	gain	3	579	gain_3
2	86	3	gain	3	580	gain_3
4	87	3	gain	3	581	gain_3
3	88	3	gain	3	582	gain_3
4	89	3	gain	3	583	gain_3
7	90	3	gain	3	584	gain_3
0	91	3	gain	3	585	gain_3
0	92	3	gain	3	586	gain_3
0	93	3	gain	3	587	gain_3
6	94	3	gain	3	588	gain_3
10	95	3	gain	3	589	gain_3
6	96	3	gain	3	590	gain_3
4	97	3	gain	3	591	gain_3
1	98	3	gain	3	592	gain_3
1	99	3	gain	3	593	gain_3
1	100	3	gain	3	594	gain_3
0	101	3	gain	3	595	gain_3
0	102	3	gain	3	596	gain_3
1	103	3	gain	3	597	gain_3
0	104	3	gain	3	598	gain_3
0	105	3	gain	3	599	gain_3
0	106	3	gain	3	600	gain_3
0	107	3	gain	3	601	gain_3
1	108	3	gain	3	602	gain_3
1	109	3	gain	3	603	gain_3
2	110	3	gain	3	604	gain_3
2	111	3	gain	3	605	gain_3
1	112	3	gain	3	606	gain_3
0	113	3	gain	3	607	gain_3
0	114	3	gain	3	608	gain_3
2	115	3	gain	3	609	gain_3
3	116	3	gain	3	610	gain_3
2	117	3	gain	3	611	gain_3
3	118	3	gain	3	612	gain_3
1	119	3	gain	3	613	gain_3
0	120	3	gain	3	614	gain_3
0	121	3	gain	3	615	gain_3
0	122	3	gain	3	616	gain_3
0	123	3	gain	3	617	gain_3
0	124	3	gain	3	618	gain_3
0	125	3	gain	3	619	gain_3
0	126	3	gain	3	620	gain_3
0	127	3	gain	3	621	gain_3
0	128	3	gain	3	622	gain_3
0	129	3	gain	3	623	gain_3
0	130	3	gain	3	624	gain_3
0	131	3	gain	3	625	gain_3
0	132	3	gain	3	626	gain_3
0	133	3	gain	3	627	gain_3
0	134	3	gain	3	628	gain_3
0	135	3	gain	3	629	gain_3
0	136	3	gain	3	630	gain_3
0	137	3	gain	3	631	gain_3
0	138	3	gain	3	632	gain_3
0	139	3	gain	3	633	gain_3
1	140	3	gain	3	634	gain_3
1	141	3	gain	3	635	gain_3
0	142	3	gain	3	636	gain_3
0	143	3	gain	3	637	gain_3
2	144	3	gain	3	638	gain_3
4	145	3	gain	3	639	gain_3
0	146	3	gain	3	640	gain_3
0	147	3	gain	3	641	gain_3
0	148	3	gain	3	642	gain_3
0	149	3	gain	3	643	gain_3
0	150	3	gain	3	644	gain_3
0	151	3	gain	3	645	gain_3
0	152	3	gain	3	646	gain_3
0	153	3	gain	3	647	gain_3
0	154	3	gain	3	648	gain_3
1	155	3	gain	3	649	gain_3
1	156	3	gain	3	650	gain_3
2	157	3	gain	3	651	gain_3
0	158	3	gain	3	652	gain_3
0	159	3	gain	3	653	gain_3
0	160	3	gain	3	654	gain_3
0	161	3	gain	3	655	gain_3
0	162	3	gain	3	656	gain_3
0	163	3	gain	3	657	gain_3
0	164	3	gain	3	658	gain_3
0	165	3	gain	3	659	gain_3
0	166	3	gain	3	660	gain_3
0	167	3	gain	3	661	gain_3
0	168	3	gain	3	662	gain_3
0	169	3	gain	3	663	gain_3
1	170	3	gain	3	664	gain_3
2	171	3	gain	3	665	gain_3
3	172	3	gain	3	666	gain_3
2	173	3	gain	3	667	gain_3
0	174	3	gain	3	668	gain_3
1	175	3	gain	3	669	gain_3
0	176	3	gain	3	670	gain_3
0	177	3	gain	3	671	gain_3
0	178	3	gain	3	672	gain_3
0	179	3	gain	3	673	gain_3
1	180	3	gain	3	674	gain_3
1	181	3	gain	3	675	gain_3
1	182	3	gain	3	676	gain_3
1	183	3	gain	3	677	gain_3
1	184	3	gain	3	678	gain_3
0	185	3	gain	3	679	gain_3
0	186	3	gain	3	680	gain_3
0	187	3	gain	3	681	gain_3
0	188	3	gain	3	682	gain_3
0	189	3	gain	3	683	gain_3
0	190	3	gain	3	684	gain_3
0	191	3	gain	3	685	gain_3
0	192	3	gain	3	686	gain_3
0	193	3	gain	3	687	gain_3
1	194	3	gain	3	688	gain_3
0	195	3	gain	3	689	gain_3
1	196	3	gain	3	690	gain_3
2	197	3	gain	3	691	gain_3
2	198	3	gain	3	692	gain_3
0	199	3	gain	3	693	gain_3
2	1	4	gain	4	694	gain_4
2	2	4	gain	4	695	gain_4
2	3	4	gain	4	696	gain_4
1	4	4	gain	4	697	gain_4
0	5	4	gain	4	698	gain_4
0	6	4	gain	4	699	gain_4
0	7	4	gain	4	700	gain_4
0	8	4	gain	4	701	gain_4
0	9	4	gain	4	702	gain_4
0	10	4	gain	4	703	gain_4
0	11	4	gain	4	704	gain_4
0	12	4	gain	4	705	gain_4
0	13	4	gain	4	706	gain_4
0	14	4	gain	4	707	gain_4
0	15	4	gain	4	708	gain_4
0	16	4	gain	4	709	gain_4
0	17	4	gain	4	710	gain_4
0	18	4	gain	4	711	gain_4
0	19	4	gain	4	712	gain_4
0	20	4	gain	4	713	gain_4
0	21	4	gain	4	714	gain_4
0	22	4	gain	4	715	gain_4
0	23	4	gain	4	716	gain_4
0	24	4	gain	4	717	gain_4
1	25	4	gain	4	718	gain_4
0	26	4	gain	4	719	gain_4
0	27	4	gain	4	720	gain_4
1	28	4	gain	4	721	gain_4
0	29	4	gain	4	722	gain_4
0	30	4	gain	4	723	gain_4
0	31	4	gain	4	724	gain_4
0	32	4	gain	4	725	gain_4
0	33	4	gain	4	726	gain_4
0	34	4	gain	4	727	gain_4
0	35	4	gain	4	728	gain_4
0	36	4	gain	4	729	gain_4
1	37	4	gain	4	730	gain_4
0	38	4	gain	4	731	gain_4
1	39	4	gain	4	732	gain_4
2	40	4	gain	4	733	gain_4
1	41	4	gain	4	734	gain_4
0	42	4	gain	4	735	gain_4
0	43	4	gain	4	736	gain_4
0	44	4	gain	4	737	gain_4
0	45	4	gain	4	738	gain_4
0	46	4	gain	4	739	gain_4
0	47	4	gain	4	740	gain_4
2	48	4	gain	4	741	gain_4
5	49	4	gain	4	742	gain_4
0	50	4	gain	4	743	gain_4
0	51	4	gain	4	744	gain_4
0	52	4	gain	4	745	gain_4
2	53	4	gain	4	746	gain_4
2	54	4	gain	4	747	gain_4
1	55	4	gain	4	748	gain_4
2	56	4	gain	4	749	gain_4
0	57	4	gain	4	750	gain_4
0	58	4	gain	4	751	gain_4
1	59	4	gain	4	752	gain_4
1	60	4	gain	4	753	gain_4
0	61	4	gain	4	754	gain_4
0	62	4	gain	4	755	gain_4
0	63	4	gain	4	756	gain_4
0	64	4	gain	4	757	gain_4
0	65	4	gain	4	758	gain_4
0	66	4	gain	4	759	gain_4
0	67	4	gain	4	760	gain_4
2	68	4	gain	4	761	gain_4
1	69	4	gain	4	762	gain_4
0	70	4	gain	4	763	gain_4
0	71	4	gain	4	764	gain_4
0	72	4	gain	4	765	gain_4
1	73	4	gain	4	766	gain_4
1	74	4	gain	4	767	gain_4
0	75	4	gain	4	768	gain_4
0	76	4	gain	4	769	gain_4
0	77	4	gain	4	770	gain_4
0	78	4	gain	4	771	gain_4
0	79	4	gain	4	772	gain_4
2	80	4	gain	4	773	gain_4
2	81	4	gain	4	774	gain_4
